"","dt_60","season_intraday_60","season_workday_60","season_month_60","stocks_60","care_p_60","fairness_p_60","loyalty_p_60","authority_p_60","sanctity_p_60","care_sent_60","fairness_sent_60","loyalty_sent_60","authority_sent_60","sanctity_sent_60","tf2_60","morality","stocks_60_diff","stocks_60_diff_ln","day_count","care","fairness","loyalty","authority","sanctity","morality_diff","care_diff","fairness_diff","loyalty_diff","authority_diff","sanctity_diff","morality_lag","morality_lead","care_lag","fairness_lag","loyalty_lag","authority_lag","sanctity_lag","care_lead","fairness_lead","loyalty_lead","authority_lead","sanctity_lead"
"1",2019-11-01 10:30:00,1,"5","11",3061.08,0.0950460249910186,0.0956415067332787,0.0862586791079346,0.0881006767602052,0.0745017821390416,-0.0898436546486828,-0.0339336384683682,-0.00736743571277083,-0.0280108605336104,-0.0522530603671892,"0",-0.0187809737192978,NA,NA,1,-0.00853928224502314,-0.00324546431205708,-0.000635505272996236,-0.0024677757696468,-0.00389294611957452,NA,NA,NA,NA,NA,NA,NA,-0.00707022690393929,NA,NA,NA,NA,NA,-0.00153023631921542,-0.00147642858274651,-0.00141174481388235,-0.00134696644182326,-0.00130485074627175
"2",2019-11-01 11:30:00,2,"5","11",3059.73,0.100566511818972,0.0988529783348876,0.0902028274277215,0.0943942069331596,0.0792477895433716,-0.100127948977335,-0.0477668247769639,-0.0226960744497618,-0.0404128848094595,-0.065589171581897,"0",-0.0258512006232371,-1.34999999999991,-0.000441118094464343,1,-0.0100695185642386,-0.00472189289480359,-0.00204725008687858,-0.00381474221147006,-0.00519779686584626,-0.00707022690393929,-0.00153023631921542,-0.00147642858274651,-0.00141174481388235,-0.00134696644182326,-0.00130485074627175,NA,-2.34006695191413e-05,NA,NA,NA,NA,NA,-0.000498657467568681,0.000126552871173795,3.80563792891481e-05,0.000520414994021503,-0.000209767446434909
"3",2019-11-01 12:30:00,3,"5","11",3058.84,0.102596725880066,0.100603994190073,0.088063665182034,0.091175010686298,0.080103355448857,-0.103006952133748,-0.0456775107253467,-0.0228152405811896,-0.0361319093099228,-0.0675073382629233,"0",-0.0258746012927562,-0.889999999999873,-0.000290917651110334,1,-0.0105681760318072,-0.0045953400236298,-0.00200919370758944,-0.00329432721744856,-0.00540756431228117,-2.34006695191413e-05,-0.000498657467568681,0.000126552871173795,3.80563792891481e-05,0.000520414994021503,-0.000209767446434909,-0.00707022690393929,-0.00108982728092658,-0.00153023631921542,-0.00147642858274651,-0.00141174481388235,-0.00134696644182326,-0.00130485074627175,-0.000423864772214729,-4.79382518916481e-05,-0.000326839995988735,-0.000479730956768764,0.000188546695937293
"4",2019-11-01 13:30:00,4,"5","11",3061.89,0.0984898018008079,0.0974028324141685,0.087992825800785,0.0919224959676076,0.0763084974176781,-0.111605877999968,-0.0476708752757586,-0.0265480018662763,-0.0410569592839087,-0.0683936624748007,"0",-0.0269644285736828,3.04999999999973,0.000996613231574628,1,-0.010992040804022,-0.00464327827552144,-0.00233603370357817,-0.00377405817421732,-0.00521901761634388,-0.00108982728092658,-0.000423864772214729,-4.79382518916481e-05,-0.000326839995988735,-0.000479730956768764,0.000188546695937293,-2.34006695191413e-05,0.00404209900532209,-0.000498657467568681,0.000126552871173795,3.80563792891481e-05,0.000520414994021503,-0.000209767446434909,0.00182320794374115,0.000684864168087246,0.000739818064608027,0.000917185644406903,-0.000122976815521238
"5",2019-11-01 14:30:00,5,"5","11",3063,0.0952453773352955,0.0971020072348076,0.0874006717054364,0.0907002696851771,0.0768285900440908,-0.0962653843871443,-0.0407655229810249,-0.0182631964700434,-0.0314979496723295,-0.069531334999112,"0",-0.0229223295683607,1.11000000000013,0.000362455492963321,1,-0.00916883286028083,-0.0039584141074342,-0.00159621563897014,-0.00285687252981042,-0.00534199443186512,0.00404209900532209,0.00182320794374115,0.000684864168087246,0.000739818064608027,0.000917185644406903,-0.000122976815521238,-0.00108982728092658,0.00634613857292145,-0.000423864772214729,-4.79382518916481e-05,-0.000326839995988735,-0.000479730956768764,0.000188546695937293,0.000737199740852847,0.00158292635194464,0.000786780691296818,0.00118226453333489,0.00205696725549226
"6",2019-11-01 15:30:00,6,"5","11",3062.83,0.105625197656589,0.100180892516368,0.0913416200614855,0.0941446977723619,0.0776443747918093,-0.0798259629945605,-0.0237119843497247,-0.00886162241405905,-0.0177875975609871,-0.0423086306661766,"0",-0.0165761909954392,-0.170000000000073,-5.55026829154315e-05,1,-0.00843163311942798,-0.00237548775548956,-0.000809434947673326,-0.00167460799647553,-0.00328502717637285,0.00634613857292145,0.000737199740852847,0.00158292635194464,0.000786780691296818,0.00118226453333489,0.00205696725549226,0.00404209900532209,-0.00686336367051391,0.00182320794374115,0.000684864168087246,0.000739818064608027,0.000917185644406903,-0.000122976815521238,-0.0011351840151441,-0.00213121923377865,-0.00060271699346729,-0.00179462093206685,-0.00119962249605702
"7",2019-11-04 10:30:00,1,"1","11",3083.52,0.0978568157774779,0.0969913737425195,0.0887919605327513,0.0893672538159917,0.0771599395803428,-0.0977634215722551,-0.0464650289543485,-0.0159040518158143,-0.0388199119969108,-0.0581214772435148,"0",-0.0234395546659532,20.6900000000001,0.00673247639653773,4,-0.00956681713457208,-0.00450670698926821,-0.00141215194114062,-0.00346922892854238,-0.00448464967242987,-0.00686336367051391,-0.0011351840151441,-0.00213121923377865,-0.00060271699346729,-0.00179462093206685,-0.00119962249605702,0.00634613857292145,-0.000364451598943809,0.000737199740852847,0.00158292635194464,0.000786780691296818,0.00118226453333489,0.00205696725549226,-1.23625920411576e-05,-0.000112112545150566,-0.000236478361879365,0.000145714779570417,-0.000149212879443141
"8",2019-11-04 11:30:00,2,"1","11",3080.74,0.09751249390464,0.0995152842927743,0.088927695338818,0.0939283894386189,0.0796820283375702,-0.0982354090541563,-0.046413167256099,-0.0185389972914359,-0.0353834891541907,-0.058154425138901,"0",-0.023804006264897,-2.7800000000002,-0.000901973696265657,4,-0.00957917972661324,-0.00461881953441877,-0.00164863030301998,-0.00332351414897197,-0.00463386255187301,-0.000364451598943809,-1.23625920411576e-05,-0.000112112545150566,-0.000236478361879365,0.000145714779570417,-0.000149212879443141,-0.00686336367051391,0.00532051689675972,-0.0011351840151441,-0.00213121923377865,-0.00060271699346729,-0.00179462093206685,-0.00119962249605702,0.00151995740568924,0.0010176061957803,0.0012749611024395,0.00114140067562594,0.000366591517224739
"9",2019-11-04 12:30:00,3,"1","11",3078.7,0.0954554114299937,0.0966391788569083,0.0885024682386595,0.0911468093752719,0.0771074563691304,-0.0844291821719774,-0.0372645275056685,-0.00422213309998121,-0.0239406457373814,-0.0553418727006102,"0",-0.0184834893681372,-2.03999999999996,-0.000662397904546808,4,-0.00805922232092399,-0.00360121333863848,-0.00037366920058048,-0.00218211347334602,-0.00426727103464827,0.00532051689675972,0.00151995740568924,0.0010176061957803,0.0012749611024395,0.00114140067562594,0.000366591517224739,-0.000364451598943809,-0.0087502630722518,-1.23625920411576e-05,-0.000112112545150566,-0.000236478361879365,0.000145714779570417,-0.000149212879443141,-0.00243988250269544,-0.00113338572779347,-0.00245048230589292,-0.00205304948845105,-0.000673463047418921
"10",2019-11-04 13:30:00,4,"1","11",3081.25,0.102116836892041,0.10100769947136,0.0916897064132425,0.0979401715791747,0.0794016553398705,-0.102814630213421,-0.0468736451895374,-0.0308011838727571,-0.0432423477875304,-0.0622245727865358,"0",-0.027233752440389,2.55000000000018,0.000827928845415826,4,-0.0104991048236194,-0.00473459906643195,-0.0028241515064734,-0.00423516296179707,-0.00494073408206719,-0.0087502630722518,-0.00243988250269544,-0.00113338572779347,-0.00245048230589292,-0.00205304948845105,-0.000673463047418921,0.00532051689675972,0.00352851947388822,0.00151995740568924,0.0010176061957803,0.0012749611024395,0.00114140067562594,0.000366591517224739,0.00105528744143729,0.00018007294040212,0.00123053256697223,0.000934955280025582,0.000127671245050998
