dt_60,season_intraday_60,season_workday_60,season_month_60,stocks_60,care_p_60,fairness_p_60,loyalty_p_60,authority_p_60,sanctity_p_60,care_sent_60,fairness_sent_60,loyalty_sent_60,authority_sent_60,sanctity_sent_60,tf2_60
2019-11-01 10:30:00-04:00,1,5,11,3058.7273333333333,0.0950460249910186,0.09564150673327872,0.08625867910793455,0.08810067676020525,0.0745017821390416,-0.08984365464868276,-0.03393363846836816,-0.007367435712770828,-0.028010860533610415,-0.052253060367189186,0
2019-11-01 11:30:00-04:00,2,5,11,3060.9030000000002,0.10056651181897151,0.09885297833488764,0.09020282742772154,0.09439420693315961,0.07924778954337162,-0.10012794897733532,-0.04776682477696393,-0.022696074449761794,-0.040412884809459496,-0.06558917158189698,0
2019-11-01 12:30:00-04:00,3,5,11,3059.294666666667,0.10259672588006583,0.10060399419007339,0.08806366518203398,0.09117501068629803,0.08010335544885704,-0.10300695213374844,-0.04567751072534671,-0.0228152405811896,-0.036131909309922765,-0.0675073382629233,0
2019-11-01 13:30:00-04:00,4,5,11,3059.974333333334,0.09848980180080794,0.09740283241416849,0.08799282580078505,0.09192249596760758,0.07630849741767808,-0.1116058779999678,-0.047670875275758605,-0.026548001866276344,-0.04105695928390867,-0.06839366247480073,0
2019-11-01 14:30:00-04:00,5,5,11,3063.159000000001,0.0952453773352955,0.09710200723480758,0.08740067170543638,0.09070026968517705,0.07682859004409077,-0.09626538438714434,-0.04076552298102493,-0.01826319647004335,-0.0314979496723295,-0.06953133499911199,0
2019-11-01 15:30:00-04:00,6,5,11,3062.83,0.10562519765658865,0.10018089251636761,0.09134162006148554,0.09414469777236191,0.07764437479180931,-0.07982596299456048,-0.023711984349724675,-0.008861622414059047,-0.01778759756098708,-0.04230863066617658,0
2019-11-04 10:30:00-05:00,1,1,11,3081.6335000000045,0.09785681577747787,0.09699137374251951,0.08879196053275128,0.08936725381599168,0.07715993958034278,-0.09776342157225514,-0.04646502895434851,-0.01590405181581431,-0.03881991199691076,-0.05812147724351482,0
2019-11-04 11:30:00-05:00,2,1,11,3081.527833333336,0.09751249390464002,0.09951528429277434,0.08892769533881802,0.09392838943861885,0.0796820283375702,-0.0982354090541563,-0.04641316725609895,-0.018538997291435856,-0.03538348915419067,-0.05815442513890098,0
2019-11-04 12:30:00-05:00,3,1,11,3079.730166666668,0.09545541142999371,0.09663917885690831,0.0885024682386595,0.09114680937527195,0.07710745636913044,-0.08442918217197738,-0.0372645275056685,-0.004222133099981206,-0.02394064573738144,-0.055341872700610216,0
2019-11-04 13:30:00-05:00,4,1,11,3079.4746666666683,0.10211683689204065,0.10100769947135986,0.09168970641324246,0.09794017157917471,0.07940165533987045,-0.10281463021342141,-0.04687364518953742,-0.030801183872757126,-0.04324234778753041,-0.06222457278653576,0
