dt_15,season_intraday_15,season_workday_15,season_month_15,stocks_15,care_p_15,fairness_p_15,loyalty_p_15,authority_p_15,sanctity_p_15,care_sent_15,fairness_sent_15,loyalty_sent_15,authority_sent_15,sanctity_sent_15,tf2_15
2019-11-01 09:45:00-04:00,1,5,11,3054.301333333334,0.08947924405480415,0.09552469920878519,0.0877364453836752,0.08407773130795335,0.07296310221443644,-0.08404713204812742,-0.031137138335041354,0.005316240271788596,-0.014095604991957934,-0.042871914930543306,0
2019-11-01 10:00:00-04:00,2,5,11,3056.562,0.09296774149714833,0.09439150755135343,0.08510969852656754,0.09081020171327053,0.0727304070004428,-0.08667304528738938,-0.03219639083201622,-0.011326346729374118,-0.040160707724575244,-0.06490524342748855,0
2019-11-01 10:15:00-04:00,3,5,11,3062.272,0.09683289137571759,0.0957727777932647,0.08457697888368147,0.08864595834809605,0.07542474061110273,-0.08766571193044945,-0.04030657337942878,-0.01205417920924552,-0.030325472587499507,-0.04293066535430055,0
2019-11-01 10:30:00-04:00,4,5,11,3061.774,0.09949331154324285,0.09678792838033762,0.0880629916966179,0.08810717378862616,0.07639953272307207,-0.09996395356038992,-0.030700909205539563,-0.008464669208427568,-0.024886846163250372,-0.05805296339305374,0
2019-11-01 10:45:00-04:00,5,5,11,3061.0153333333337,0.09807609474374997,0.09854072532811785,0.08905282072257206,0.092586999794872,0.07938263043565943,-0.09110319534390007,-0.03639967429057942,-0.012210945811134286,-0.027841260881876793,-0.0566639678179073,0
2019-11-01 11:00:00-04:00,6,5,11,3061.0246666666662,0.10097940378060742,0.10518177376748403,0.09103936481865196,0.09524423608934365,0.08377147032762372,-0.10152889994275194,-0.05424304529001851,-0.027677957194819185,-0.045124035777276854,-0.06725123700231145,0
2019-11-01 11:15:00-04:00,7,5,11,3061.1033333333335,0.10144329950787677,0.0944230939751384,0.08864435730549627,0.09356194679946885,0.07682518785671211,-0.10929007874582564,-0.057230884660359436,-0.025788800753655715,-0.04849933697508786,-0.07438560718227716,0
2019-11-01 11:30:00-04:00,8,5,11,3060.4686666666666,0.10215715868457372,0.09833338684820385,0.09260895233939831,0.09673427443988658,0.07757603134805151,-0.0990011302126399,-0.0442543504257065,-0.026983119902880503,-0.0416545498512305,-0.06451847190171045,0
2019-11-01 11:45:00-04:00,9,5,11,3060.1133333333332,0.11553071008530728,0.107584784884791,0.09380451690875224,0.10557058071626998,0.0805016782493839,-0.08789171102571183,-0.04179725678877036,-0.06993291142123165,-0.046748685133900916,-0.06658802195423282,0
2019-11-01 12:00:00-04:00,10,5,11,3060.884,0.10130283658332291,0.09824249060754336,0.08709854994349742,0.09019465491212689,0.07841483930587542,-0.10054149435810864,-0.04266379382273825,-0.012069201653192606,-0.03151150862950473,-0.06509525897201869,0
2019-11-01 12:15:00-04:00,11,5,11,3058.606,0.10393142155783767,0.10297536083077097,0.08710463153717721,0.08893850845938071,0.08375043004509734,-0.13259226318441308,-0.0723800020017491,-0.05028229616959533,-0.06011644682817006,-0.09639814870298906,0
2019-11-01 12:30:00-04:00,12,5,11,3057.5753333333337,0.09957043528613088,0.10033258858288331,0.08873743542171464,0.09028768486939824,0.07963706029326346,-0.08600377780707033,-0.02861105748682651,-0.0021912354948163586,-0.019624622684668577,-0.046585549277733,0
2019-11-01 12:45:00-04:00,13,5,11,3059.6979999999994,0.10025798013115944,0.09495467112327499,0.08699922337596136,0.09133788179105377,0.07654179096220136,-0.1326556476518142,-0.06288907808938544,-0.045068095064024906,-0.05495629372156551,-0.08188907217333961,0
2019-11-01 13:00:00-04:00,14,5,11,3058.985333333333,0.09339397672874807,0.09737269754774738,0.09142566320846746,0.0930951175983185,0.07622316838488025,-0.08150345591543275,-0.0336712465810516,-0.004758627110087035,-0.019439209977899545,-0.05145318732476676,0
2019-11-01 13:15:00-04:00,15,5,11,3059.597999999999,0.10329277292288536,0.10157451962810587,0.08752892770377013,0.09241466242094767,0.0783941501496022,-0.12008042543475869,-0.04917509019507079,-0.03788384111025247,-0.05624978025272479,-0.07192741826679128,0
2019-11-01 13:30:00-04:00,16,5,11,3061.6160000000004,0.09740954171861081,0.10067452629002306,0.0844655918668188,0.09073934082039158,0.07299935935771082,-0.09369120070381595,-0.02347235264151474,0.004599073536536628,-0.020743535255509392,-0.054127380343859485,0
2019-11-01 13:45:00-04:00,17,5,11,3062.7119999999995,0.10092055533019602,0.10013559832016074,0.09121008486827213,0.09242683945778431,0.07900903926614308,-0.08250249706128583,-0.03476961582686366,0.0007192874962271146,-0.026501420939391094,-0.06171454464417256,0
2019-11-01 14:00:00-04:00,18,5,11,3064.2406666666666,0.08950803423007798,0.0972762893773561,0.09117694376970197,0.10094100058859441,0.0726010568653987,-0.08642685691025807,-0.056954418966244855,-0.015135203699621621,-0.03974330221164593,-0.061031252296290105,0
2019-11-01 14:15:00-04:00,19,5,11,3063.216,0.09843623867931874,0.09749204046653141,0.08671176730038901,0.09038837856369192,0.07635906595417535,-0.09795489394932076,-0.04362657867725546,-0.02043524178527965,-0.02869165989691618,-0.0667347326540913,0
2019-11-01 14:30:00-04:00,20,5,11,3062.4673333333335,0.09001583594785575,0.0936703786383463,0.08222726603776476,0.08451713871264516,0.07678947207809572,-0.1137437377843877,-0.0378381648105472,-0.03777031096013768,-0.03466291409053223,-0.08311645879483262,0
2019-11-01 14:45:00-04:00,21,5,11,3063.103333333333,0.10562519765658865,0.10018089251636761,0.09134162006148554,0.09414469777236191,0.07764437479180931,-0.07982596299456048,-0.023711984349724675,-0.008861622414059047,-0.01778759756098708,-0.04230863066617658,0
